release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,liked
4/28/21,202987,57,0.726,0.0317,0.726,0.611,0,0.286,-5.541,0.338,154.067,4,0
5/28/21,174199,46,0.773,0.00855,0.773,0.658,0,0.182,-6.731,0.122,127.151,4,0
5/14/21,227918,70,0.721,0.169,0.721,0.521,1.08E-06,0.115,-9.687,0.349,157.965,4,0
1/1/06,251040,58,0.434,0.152,0.434,0.764,0,0.425,-5.367,0.276,92.605,4,0
5/22/20,197000,69,0.837,0.281,0.837,0.586,0,0.134,-8.521,0.0807,117.066,4,0
4/9/21,165925,95,0.789,0.41,0.789,0.536,0,0.129,-6.862,0.242,81.039,4,0
10/11/19,148629,74,0.876,0.0208,0.876,0.733,0,0.0999,-4.478,0.333,154.904,4,0
9/28/18,324189,67,0.856,0.371,0.856,0.694,0,0.109,-4.393,0.169,122.08,4,0
3/19/21,245621,71,0.928,0.221,0.928,0.322,4.37E-06,0.115,-10.334,0.0838,109.999,4,0
3/12/21,193760,59,0.634,0.344,0.634,0.424,1.11E-05,0.442,-8.609,0.0493,81.449,3,0
4/9/21,213214,73,0.637,0.742,0.637,0.299,0,0.359,-11.314,0.0366,83.872,4,0
