,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,liked
16,Stuck Up.,na fr.,Quentin Miller,5/15/20,172444,47,0.935,0.139,0.935,0.579,1.43E-06,0.11,-7.392,0.112,135.011,4,0
17,The Parables,The Parables,Cordae,11/24/20,194358,63,0.648,0.027,0.648,0.722,0,0.169,-9.992,0.489,176.553,4,0
18,Never Left,Never Left,Lil Tecca,5/6/21,168727,84,0.807,0.0224,0.807,0.659,0,0.309,-6.92,0.332,82.465,4,0
19,GREECE (feat. Drake),GREECE (feat. Drake),DJ Khaled,7/16/20,218901,80,0.695,0.0743,0.695,0.343,1.04E-06,0.107,-10.798,0.0432,85.84,4,0
20,Feen,L.O.V.E. (Deluxe),Luh Kel,11/20/20,179372,58,0.644,0.312,0.644,0.71,0,0.101,-4.078,0.04,143.061,4,0
21,How You Live It (feat. Joey Bada$$),How You Live It (feat. Joey Bada$$),Nyck Caution,10/30/20,180680,47,0.471,0.352,0.471,0.835,0,0.161,-4.972,0.387,176.049,4,0
22,She Think,She Think,Buddy,4/10/20,164774,39,0.882,0.153,0.882,0.735,1.47E-05,0.103,-5.372,0.115,149.949,4,0
23,What It Is,What It Is,KYLE,5/18/20,143475,0,0.84,0.0732,0.84,0.304,1.76E-05,0.115,-6.52,0.101,76.474,4,0
24,L.A. Times (feat. REASON),Save Yourself,Nana,11/6/20,242602,47,0.685,0.353,0.685,0.896,0,0.146,-6.478,0.44,80.104,4,0
25,Weeeeee,Pegasus,Trippie Redd,10/30/20,152920,69,0.729,0.111,0.729,0.503,0,0.123,-8.229,0.081,134.927,4,0
26,Stimulus Check,Stimulus Check,Rexx Life Raj,6/26/20,174000,47,0.609,0.739,0.609,0.399,0.000145,0.104,-14.415,0.773,70.894,3,0
27,Extinct,New Beginnings,REASON,10/9/20,222248,56,0.63,0.419,0.63,0.694,0,0.134,-6.593,0.313,91.749,4,0
28,All Good (feat. Will Wildfire),Gemini,KAS,12/6/19,160055,6,0.804,0.403,0.804,0.432,0,0.106,-9.91,0.511,144.059,4,0
29,I Got Money Now (feat. JID),I Got Money Now (feat. JID),Deante' Hitchcock,4/15/20,218800,42,0.835,0.131,0.835,0.68,0,0.0782,-4.329,0.244,132.952,4,0
30,Baptize (with JID & EARTHGANG feat. Ant Clemons),Baptize (with JID & EARTHGANG feat. Ant Clemons),Spillage Village,9/10/20,295556,0,0.67,0.229,0.67,0.631,0,0.194,-8.162,0.364,77.933,4,0
31,Racer,Racer,Rockie Fresh,3/12/21,183021,43,0.834,0.226,0.834,0.537,0,0.101,-7.652,0.285,139.038,4,0
